index,date,mean_rainfall
216,03/08/2020,0.901661855
217,04/08/2020,8.198760033
218,05/08/2020,1.460102802
219,06/08/2020,0.001638499
220,07/08/2020,4.95534127832219e-07
221,08/08/2020,0
222,09/08/2020,0.009557459
223,10/08/2020,2.41935381
224,11/08/2020,1.158914972
225,12/08/2020,0.068204657
226,13/08/2020,0.192246562
227,14/08/2020,0.219248992
228,15/08/2020,1.32232627
229,16/08/2020,17.79105845
230,17/08/2020,1.384120779
231,18/08/2020,5.123654571
232,19/08/2020,16.68349249
233,20/08/2020,10.43447997
234,21/08/2020,15.91133304
235,22/08/2020,3.861371875
236,23/08/2020,7.47401205
237,24/08/2020,13.81502685
238,25/08/2020,42.79446082
239,26/08/2020,2.486842361
240,27/08/2020,29.16713827
241,28/08/2020,1.291256477
242,29/08/2020,0.015608734
243,30/08/2020,0.000949931
244,31/08/2020,0.000348466
245,01/09/2020,0.000445413
246,02/09/2020,14.50306871
247,03/09/2020,0.932021285
248,04/09/2020,5.330047694
249,05/09/2020,1.360426139
250,06/09/2020,5.53731875
251,07/09/2020,0.583504035
252,08/09/2020,2.624503916
253,09/09/2020,0.003481138
254,10/09/2020,0.005283824
255,11/09/2020,3.440554727
256,12/09/2020,2.371211095
257,13/09/2020,0.114132405
258,14/09/2020,3.06110341341537e-05
259,15/09/2020,0.020706568
260,16/09/2020,0.004254926
261,17/09/2020,0.008451337
262,18/09/2020,0.000622442
263,19/09/2020,0.174873318
264,20/09/2020,0.0105765
265,21/09/2020,0.000417923
266,22/09/2020,8.935645732
267,23/09/2020,11.74353942
268,24/09/2020,10.51631568
269,25/09/2020,1.690974469
270,26/09/2020,0.034378553
271,27/09/2020,0.000429136
272,28/09/2020,0.171609736
273,29/09/2020,0.039647432
274,30/09/2020,8.631024317
275,01/10/2020,0.613039158
276,02/10/2020,6.418829549
277,03/10/2020,34.67562675
278,04/10/2020,5.25399816
279,05/10/2020,2.491886919
280,06/10/2020,0.692884708
281,07/10/2020,12.27661033
282,08/10/2020,3.482428096
283,09/10/2020,2.653607379
284,10/10/2020,6.261194207
285,11/10/2020,1.14523345
286,12/10/2020,7.265881278
287,13/10/2020,13.13428814
288,14/10/2020,7.665620435
289,15/10/2020,0.799615519
290,16/10/2020,1.081723779
291,17/10/2020,1.385294898
292,18/10/2020,0.39676167
293,19/10/2020,3.232494029
294,20/10/2020,2.642791022
295,21/10/2020,2.983864221
296,22/10/2020,1.680118515
297,23/10/2020,3.102007194
298,24/10/2020,9.351710623
299,25/10/2020,10.80470532
300,26/10/2020,4.638145837
301,27/10/2020,18.61864601
302,28/10/2020,6.807938467
303,29/10/2020,10.87912828
304,30/10/2020,6.784065918
305,31/10/2020,10.5199989
306,01/11/2020,25.81158777
307,02/11/2020,20.93258286
308,03/11/2020,0.394550076
309,04/11/2020,0.00063274
310,05/11/2020,0.01000864
311,06/11/2020,0.10635959
312,07/11/2020,0.334520789
313,08/11/2020,1.219372944
314,09/11/2020,0.406395006
315,10/11/2020,0.151806382
316,11/11/2020,9.708275231
317,12/11/2020,3.226256902
318,13/11/2020,2.877732374
319,14/11/2020,7.337075103
320,15/11/2020,24.09773436
321,16/11/2020,0.747412687
322,17/11/2020,1.681306102
323,18/11/2020,18.92141906
324,19/11/2020,0.005747949
325,20/11/2020,2.157199675
326,21/11/2020,4.197362304
327,22/11/2020,0.39612593
328,23/11/2020,19.98806073
329,24/11/2020,2.543295394
330,25/11/2020,0.056638707
331,26/11/2020,0.002107123
332,27/11/2020,0.001765963
333,28/11/2020,0.814831146
334,29/11/2020,1.135980877
335,30/11/2020,2.575864814
336,01/12/2020,0.261758613
337,02/12/2020,3.037954872
338,03/12/2020,7.238023498
339,04/12/2020,28.95846913
340,05/12/2020,2.27429501
341,06/12/2020,0.166498297
342,07/12/2020,3.483073939
343,08/12/2020,3.819052035
344,09/12/2020,1.100441507
345,10/12/2020,5.858709379
346,11/12/2020,4.611929623
347,12/12/2020,0.480719361
348,13/12/2020,26.70465357
349,14/12/2020,2.250011016
350,15/12/2020,9.12532024
351,16/12/2020,20.21572122
352,17/12/2020,10.307332
353,18/12/2020,13.46740671
354,19/12/2020,9.175518296
355,20/12/2020,7.411137169
356,21/12/2020,2.122748066
357,22/12/2020,5.263821548
358,23/12/2020,18.02930598
359,24/12/2020,1.24750366
360,25/12/2020,2.432609244
361,26/12/2020,46.78066184
362,27/12/2020,2.979525425
363,28/12/2020,0.302636527
364,29/12/2020,0.135821296
365,30/12/2020,0.011995075
366,31/12/2020,3.610800093
367,01/01/2021,1.243776744
368,02/01/2021,6.676765247
369,03/01/2021,8.52162864
370,04/01/2021,5.004806887
371,05/01/2021,5.532035893
372,06/01/2021,0.102472353
373,07/01/2021,4.494009972
374,08/01/2021,3.961115295
375,09/01/2021,0.437130161
376,10/01/2021,1.295484164
377,11/01/2021,15.44262101
378,12/01/2021,0.006119574
379,13/01/2021,21.48593287
380,14/01/2021,9.996322112
381,15/01/2021,13.67054189
382,16/01/2021,1.021180006
383,17/01/2021,4.349027113
384,18/01/2021,7.047240431
385,19/01/2021,33.58650684
386,20/01/2021,14.14881372
387,21/01/2021,0.532758865
388,22/01/2021,0.185745381
389,23/01/2021,0.007226793
390,24/01/2021,0.005727638
391,25/01/2021,0.01068368
392,26/01/2021,4.326758493
393,27/01/2021,17.79733966
394,28/01/2021,8.767386827
395,29/01/2021,1.010954161
396,30/01/2021,0.014062874
397,31/01/2021,0.003710693
398,01/02/2021,2.706278763
399,02/02/2021,26.61925827
400,03/02/2021,12.5360133
401,04/02/2021,7.520428462
402,05/02/2021,8.235057896
403,06/02/2021,5.901996179
404,07/02/2021,3.751787966
405,08/02/2021,2.857903107
406,09/02/2021,4.19580128
407,10/02/2021,2.449668093
408,11/02/2021,0.004023493
409,12/02/2021,0.007122737
410,13/02/2021,0.009875004
411,14/02/2021,10.88577669
412,15/02/2021,3.593363827
413,16/02/2021,8.141941699
414,17/02/2021,6.57043249
415,18/02/2021,12.25065825
416,19/02/2021,11.68144816
417,20/02/2021,16.99933264
418,21/02/2021,4.061404998
419,22/02/2021,1.258913452
420,23/02/2021,19.12277066
421,24/02/2021,8.606444012
422,25/02/2021,0.004187942
423,26/02/2021,0.001161895
424,27/02/2021,0.00014306
425,28/02/2021,0.121134579
426,01/03/2021,0.002833762
427,02/03/2021,0.033814923
428,03/03/2021,0.844388932
429,04/03/2021,1.848614796
430,05/03/2021,0.068098828
431,06/03/2021,0.007797616
432,07/03/2021,0.205757707
433,08/03/2021,0.458794578
434,09/03/2021,6.321892066
435,10/03/2021,39.4911936
436,11/03/2021,5.976732124
437,12/03/2021,17.88087836
438,13/03/2021,2.396841293
439,14/03/2021,1.85368254
440,15/03/2021,2.672647281
441,16/03/2021,0.025677593
442,17/03/2021,0.000600637
443,18/03/2021,0.349552447
444,19/03/2021,0.032939997
445,20/03/2021,0.000532095
446,21/03/2021,0.007917183
447,22/03/2021,0
448,23/03/2021,0.979475631
449,24/03/2021,2.222900564
450,25/03/2021,7.479636344
451,26/03/2021,3.353613984
452,27/03/2021,30.14238011
453,28/03/2021,26.38714487
454,29/03/2021,1.129263152
455,30/03/2021,8.43924059898365e-05
456,31/03/2021,0.143354906
457,01/04/2021,0.002233193
458,02/04/2021,8.76589834991716e-05
459,03/04/2021,0.000141111
460,04/04/2021,0.885067013
461,05/04/2021,0.0840973
462,06/04/2021,0.240297742
463,07/04/2021,0.412753861
464,08/04/2021,2.330038791
465,09/04/2021,0.001362668
466,10/04/2021,0.417397186
467,11/04/2021,1.124800934
468,12/04/2021,0.000111472
469,13/04/2021,0.16458384
470,14/04/2021,0.008681478
471,15/04/2021,0.001886182
472,16/04/2021,8.63238755745111e-05
473,17/04/2021,0
474,18/04/2021,0
475,19/04/2021,0
476,20/04/2021,0
477,21/04/2021,0
478,22/04/2021,0
479,23/04/2021,0
480,24/04/2021,0
481,25/04/2021,0
482,26/04/2021,0.839057012
483,27/04/2021,6.604618809
484,28/04/2021,0.338595355
485,29/04/2021,0.245335147
486,30/04/2021,0.403312937
487,01/05/2021,0.255168234
488,02/05/2021,0.504960132
489,03/05/2021,27.3508638
490,04/05/2021,9.631401409
491,05/05/2021,1.484836134
492,06/05/2021,2.532691186
493,07/05/2021,4.010215813
494,08/05/2021,9.453362465
495,09/05/2021,0.552490674
496,10/05/2021,7.142620997
497,11/05/2021,8.423911116
498,12/05/2021,0.148421846
499,13/05/2021,0.232851976
500,14/05/2021,0.000791818
501,15/05/2021,1.588096348
502,16/05/2021,4.922155499
503,17/05/2021,12.37382338
504,18/05/2021,0.022764463
505,19/05/2021,0.004009138
506,20/05/2021,36.31406836
507,21/05/2021,6.739959478
508,22/05/2021,2.045717868
509,23/05/2021,18.64438425
510,24/05/2021,1.778230391
511,25/05/2021,3.457918741
512,26/05/2021,2.071008384
513,27/05/2021,0.002514935
514,28/05/2021,0.001553261
515,29/05/2021,0.000683494
516,30/05/2021,0
517,31/05/2021,0
518,01/06/2021,0
519,02/06/2021,0.005448042
520,03/06/2021,0.000774527
521,04/06/2021,0.000153869
522,05/06/2021,5.75968435172895e-05
523,06/06/2021,0.028569359
524,07/06/2021,0.89709315
525,08/06/2021,8.63516096129305e-05
526,09/06/2021,0.648047507
527,10/06/2021,0.677106448
528,11/06/2021,0.000609354
529,12/06/2021,6.67216429984695e-06
530,13/06/2021,0.406123175
531,14/06/2021,4.95673010411999e-05
532,15/06/2021,0.000146591
533,16/06/2021,0.017675799
534,17/06/2021,0
535,18/06/2021,5.80989159986571e-05
536,19/06/2021,0.001476719
537,20/06/2021,0.025151403
538,21/06/2021,0.014141734
539,22/06/2021,0.002340265
540,23/06/2021,0.127514268
541,24/06/2021,10.84317662
542,25/06/2021,11.59312001
543,26/06/2021,0.165337426
544,27/06/2021,0.007519038
545,28/06/2021,0.000280188
546,29/06/2021,0
547,30/06/2021,0
548,01/07/2021,0.001504179
549,02/07/2021,13.45118635
550,03/07/2021,11.01231428
551,04/07/2021,8.684221549
552,05/07/2021,9.637049718
553,06/07/2021,1.475694299
554,07/07/2021,0.051690352
555,08/07/2021,0.002121105
556,09/07/2021,0.478437466
557,10/07/2021,0.227921035
558,11/07/2021,1.367168632
559,12/07/2021,3.03848395
560,13/07/2021,0.007722618
561,14/07/2021,6.17709134138005e-05
562,15/07/2021,0
563,16/07/2021,0
564,17/07/2021,2.19552726874058e-05
565,18/07/2021,0
566,19/07/2021,6.83487370865392e-05
567,20/07/2021,0
568,21/07/2021,0.010628209
569,22/07/2021,0.11427162
570,23/07/2021,0
571,24/07/2021,6.83487370865392e-05
572,25/07/2021,0
573,26/07/2021,0.000631001
574,27/07/2021,13.08042882
575,28/07/2021,5.056540641
576,29/07/2021,1.689683359
577,30/07/2021,8.976966013
578,31/07/2021,2.356750011
579,01/08/2021,0.002388965
580,02/08/2021,0.00025941
581,03/08/2021,0.181665735
582,04/08/2021,0.125218787
583,05/08/2021,7.597854723
584,06/08/2021,11.12242265
585,07/08/2021,3.246955861
586,08/08/2021,6.820162556
587,09/08/2021,0.344498827
588,10/08/2021,0.099154515
589,11/08/2021,2.926306486
590,12/08/2021,0.453805816
591,13/08/2021,0.268464951
592,14/08/2021,1.59914816
593,15/08/2021,0.990176878
594,16/08/2021,1.01633821
595,17/08/2021,0.022541224
596,18/08/2021,0.015139699
597,19/08/2021,1.337352452
598,20/08/2021,3.395284772
599,21/08/2021,9.981851643
600,22/08/2021,1.960647187
601,23/08/2021,0.01240223
602,24/08/2021,0.000432756
603,25/08/2021,0.180956785
604,26/08/2021,0.046604584
605,27/08/2021,0.000171916
606,28/08/2021,0.017662114
607,29/08/2021,0.598166252
608,30/08/2021,0.414815319
609,31/08/2021,1.421959639
610,01/09/2021,0.049056891
611,02/09/2021,0.000666267
612,03/09/2021,0.854553496
613,04/09/2021,0.007911365
614,05/09/2021,1.030439136
615,06/09/2021,0.150116077
616,07/09/2021,0.000371374
617,08/09/2021,1.612574648
618,09/09/2021,5.155234077
619,10/09/2021,1.351032788
620,11/09/2021,0.014316049
621,12/09/2021,0.090204533
622,13/09/2021,0.010235837
623,14/09/2021,0.296750877
624,15/09/2021,0.006910567
625,16/09/2021,0.000982631
626,17/09/2021,0.014616243
627,18/09/2021,1.752106412
628,19/09/2021,0.618693174
629,20/09/2021,0.003746935
630,21/09/2021,0.014079181
631,22/09/2021,1.367597986
632,23/09/2021,0.753842812
633,24/09/2021,0.563161641
634,25/09/2021,0.043491249
635,26/09/2021,14.42440089
636,27/09/2021,5.913256884
637,28/09/2021,5.882049604
638,29/09/2021,2.241819815
639,30/09/2021,22.46833992
640,01/10/2021,9.804806969
641,02/10/2021,23.43799973
642,03/10/2021,12.36145444
643,04/10/2021,26.77863581
644,05/10/2021,25.0271238
645,06/10/2021,0.803047633
646,07/10/2021,1.054224851
647,08/10/2021,0.000578853
648,09/10/2021,0.826426189
649,10/10/2021,0.008577444
650,11/10/2021,0.004241198
651,12/10/2021,0.654787673
652,13/10/2021,0.000870269
653,14/10/2021,3.650856343
654,15/10/2021,0.001626644
655,16/10/2021,1.891647902
656,17/10/2021,1.430188258
657,18/10/2021,1.738648683
658,19/10/2021,6.944820859
659,20/10/2021,4.102776094
660,21/10/2021,0.040174351
661,22/10/2021,0.13728893
662,23/10/2021,0.159704013
663,24/10/2021,4.606683406
664,25/10/2021,1.044228573
665,26/10/2021,7.899250616
666,27/10/2021,14.45484495
667,28/10/2021,16.21102437
668,29/10/2021,12.67881736
669,30/10/2021,7.469343207
670,31/10/2021,27.2249279
671,01/11/2021,0.484251285
672,02/11/2021,0.266619657
673,03/11/2021,0.345867583
674,04/11/2021,0.14103219
675,05/11/2021,0.055731968
676,06/11/2021,11.03839263
677,07/11/2021,0.009970424
678,08/11/2021,1.138218975
679,09/11/2021,2.406932695
680,10/11/2021,0.010222848
681,11/11/2021,2.393618725
682,12/11/2021,7.301161918
683,13/11/2021,0.023838447
684,14/11/2021,0.000591656
685,15/11/2021,0.312387483
686,16/11/2021,4.452153303
687,17/11/2021,1.50104889
688,18/11/2021,0.005246682
689,19/11/2021,0.004628348
690,20/11/2021,1.492722487
691,21/11/2021,0.495833559
692,22/11/2021,0.006916386
693,23/11/2021,0.000913414
694,24/11/2021,0.177324427
695,25/11/2021,14.21552012
696,26/11/2021,26.1141797
697,27/11/2021,0.240359374
698,28/11/2021,1.381317122
699,29/11/2021,0.550458253
700,30/11/2021,20.51561087
701,01/12/2021,4.764117317
702,02/12/2021,1.13549352
703,03/12/2021,5.067379431
704,04/12/2021,19.61455059
705,05/12/2021,0.865529587
706,06/12/2021,3.470099449
707,07/12/2021,5.844451958
708,08/12/2021,0.381964018
709,09/12/2021,2.464736353
710,10/12/2021,0.166123609
711,11/12/2021,3.097965273
712,12/12/2021,2.885302446
713,13/12/2021,0.111576846
714,14/12/2021,0.001229262
715,15/12/2021,0.189354784
716,16/12/2021,0.003270831
717,17/12/2021,0.149691776
718,18/12/2021,0.173831818
719,19/12/2021,0.351879092
720,20/12/2021,0.133508766
721,21/12/2021,0.000881903
722,22/12/2021,2.499135017
723,23/12/2021,3.653995438
724,24/12/2021,2.642896793
725,25/12/2021,5.356955702
726,26/12/2021,1.013805882
727,27/12/2021,3.524121068
728,28/12/2021,1.731193689
729,29/12/2021,12.8577072
730,30/12/2021,31.92224867
731,31/12/2021,0.568095672
732,01/01/2022,2.484712552
733,02/01/2022,12.91700511
734,03/01/2022,8.420806668
735,04/01/2022,0.004511417
736,05/01/2022,0.003032831
737,06/01/2022,5.973190481
738,07/01/2022,7.764742483
739,08/01/2022,3.397722277
740,09/01/2022,1.845512374
741,10/01/2022,0.710417099
742,11/01/2022,0.119535944
743,12/01/2022,0.001779356
744,13/01/2022,0.009028778
745,14/01/2022,0.001993662
746,15/01/2022,0.020357362
747,16/01/2022,0.00724559
748,17/01/2022,0.009267467
749,18/01/2022,4.17970264
750,19/01/2022,0.000715385
751,20/01/2022,0.00832628
752,21/01/2022,0.024774355
753,22/01/2022,0.005307297
754,23/01/2022,0
755,24/01/2022,0.007996307
756,25/01/2022,0.107568723
757,26/01/2022,7.773725466
758,27/01/2022,0.1428217
759,28/01/2022,0.030000425
760,29/01/2022,0.114189243
761,30/01/2022,10.0864843
762,31/01/2022,1.099516607
763,01/02/2022,1.385558118
764,02/02/2022,0.645361768
765,03/02/2022,4.328238942
766,04/02/2022,3.690249129
767,05/02/2022,31.30209004
768,06/02/2022,3.662699277
769,07/02/2022,1.248223862
770,08/02/2022,5.791940342
771,09/02/2022,0.114089986
772,10/02/2022,0.165859077
773,11/02/2022,1.84604065
774,12/02/2022,11.95692127
775,13/02/2022,21.18592913
776,14/02/2022,10.49746288
777,15/02/2022,6.139030522
778,16/02/2022,16.58814877
779,17/02/2022,8.941876108
780,18/02/2022,8.83564017
781,19/02/2022,41.9017712
782,20/02/2022,35.29227829
783,21/02/2022,9.268680659
784,22/02/2022,3.074450861
785,23/02/2022,14.60490556
786,24/02/2022,5.494807872
787,25/02/2022,0.000767435
788,26/02/2022,0.001073366
789,27/02/2022,1.770978835
790,28/02/2022,6.769003738
791,01/03/2022,0.464745402
792,02/03/2022,7.524897554
793,03/03/2022,12.92222209
