Easting,Northing,Elevation_m,Surface_cover
85133,33811,471,grass
85133,33809,470,grass
85134,33807,470,medium sized rocks 
85133,33803,469,grass and smaller / medium rocks 
85133,33802,469,stream 1 with smaller rocks and flowing water
85134,33800,469,grass
85134,33799,469,stream 2 - very rocky and water 
85137,33793,472,river bank - very rocky 
85136,33792,474,mud - steap bank with rocks and some weeds 
85138,33788,476,grass with some mud and rock patches 
85136,33783,478,grass
85137,33780,481,grass
85138,33765,480,grass and some parts of heather 
85140,33744,479,heather 
85137,33730,478,grass
85138,33729,478,grass
85138,33726,479,small stream with some rocks 
85139,33716,479,grass and some small rocks 
85138,33702,479,grass
85138,33687,479,grass
85137,33678,480,grass
85138,33675,480,grass
85137,33671,479,grass
85137,33665,479,grass
,,,
85170,33934,489,dry grass
85171,33932,489,gravel and rock
85173,33924,488,short grass
85174,33918,488,short grass
85175,33912,489,tall grass
85178,33910,488,tall grass
85177,33905,487,tall grass
85177,33900,487,short grass
85179,33895,489,short grass
85180,33893,488,tall grass
85181,33889,485,tall grass
85181,33884,485,tall grass
85181,33880,485,short grass
85182,33875,484,short grass
85185,33869,482,short grass
85184,33866,479,tall grass
85185,33864,480,tall grass
85185,33860,477,short grass
85184,33857,477,short grass
85187,33852,472,short grass
85189,33851,474,short grass
85187,33848,475,river bank
85188,33847,474,river and stones
85189,33845,476,river and stones
85189,33846,476,river bank
85191,33842,475,short grass
85192,33838,474,short grass
85194,33832,468,short grass
85194,33827,469,short grass
85195,33824,471,tall grass
85195,33820,472,mossy
85196,33816,472,rocks and grass
85199,33810,476,short grass
85200,33805,479,short grass
85204,33800,484,short grass
85203,33797,485,short grass
85201,33793,482,short grass
85202,33784,475,short grass
85200,33779,474,short grass
85202,33770,479,short grass
85202,33767,480,short grass
,,,
85144,33940,491,grassy
85149,33935,487,grassy
85149,33934,489,grassy
85148,33934,490,grassy
85150,33927,491,grassy
85150,33925,490,grassy
85150,33921,488,grassy
85153,33917,488,grassy
85154,33912,487,grassy
85155,33909,486,reedy
85154,33903,485,reedy
85156,33897,483,grassy
85158,33892,484,grassy
85161,33887,483,grassy
85161,33880,482,grassy
85164,33875,484,reedy
85167,33869,479,grassy
85167,33866,479,grassy
85168,33863,480,grassy
85169,33859,478,grassy
85169,33855,476,grassy
85169,33850,476,grass + reed
85169,33845,473,grass + moss
85171,33843,473,cliff
85171,33841,469,cliff
85172,33841,471,river
85170,33837,471,cliff
85172,33835,472,rock
85173,33831,473,flood rocks
85174,33825,472,rock
85175,33821,473,grassy
85177,33812,471,boggy
85179,33807,471,grass and moss
85180,33805,471,grassy
85181,33803,472,grassy
85183,33800,474,grass
85181,33801,481,grass
85182,33800,483,heather
85182,33791,478,tufty grass
85179,33787,473,long grass
85176,33784,470,grass
85176,33780,472,reed
85173,33779,475,grass
85174,33778,480,grass
,,,
85102,33925,486,grass
85102,33924,485,
85103,33919,485,
85104,33919,484,
85106,33917,484,
85109,33910,484,
86112,33901,483,
85115,33893,482,
85114,33884,481,
85114,33878,479,
85115,33866,479,
85114,33862,478,
85117,33857,477,
85120,33852,474,Reeds
85121,33848,471,
85124,33843,472,Grass
85129,33834,472,
85132,33825,469,
85134,33816,463,
85134,33810,464,Rocks with some grass
85135,33808,465,
85136,33806,465,
85136,33803,465,
85137,33801,465,River
85137,33800,462,River
85140,33797,465,rocks   
85135,33790,466,soil and muddy slope 
85136,33789,466,Little vegetation
85136,33787,466,
85137,33783,475,
85140,33776,478,
85140,33767,480,
,,,
