Easting,Northing,Elevation_m,Surface_cover
"85130,",33795,474,
"85130,",33794,478,
85135,33787,477,
85133,33786,482,
"85134,",33785,484,
"85135,",33785,485,
,,,
85167,33927,476,grassland
85170,33930,483,uncovered muddy ground with rocky scrub
85169,33927,491,uncovered muddy ground with rocky scrub
85171,33924,490,uncovered muddy ground with rocky scrub
85173,33922,490,grassland
85174,33919,490,grassland
85176,33917,490,grassland
85176,33915,490,uneven grass
85177,33913,489,grassland
85177,33910,489,thick tall grass
85179,33907,488,thick tall grass
85180,33905,488,thick tall grass
85181,33902,489,rushes and grassland
85180,33902,489,rushes and grassland
85180,33898,489,grassland
85181,33894,489,grassland
85182,33889,487,grassland
85183,33888,488,denser grass and moss
85183,33885,489,grassland
85183,33882,487,grassland
85183,33881,487,grassland
85185,33876,488,grassland
85184,33873,486,grassland
85183,33870,486,grassland
85183,33867,486,grassland
85184,33864,486,grassland
85183,33863,484,grassland
85185,33859,482,grassland
85185,33857,481,patchy grass
85186,33855,480,patchy grass
85186,33855,478,patchy grass
85187,33853,476,patchy grass
85187,33853,474,flat grassland
85190,33849,474,stream
85192,33847,473,stream
85192,33845,475,up rock pile
85193,33842,474,down rock pile
85193,33838,474,grassland
85195,33833,476,small sediment patch
85196,33832,476,small sediment patch
85195,33831,476,grassland
85196,33827,475,boggy thick tall grassland
85197,33826,477,grassland
85197,33825,478,grassland
85197,33822,478,grassland
85198,33820,479,rocky ridge
85198,33816,479,rocky ridge
85198,33814,480,steep ridge
85198,33812,479,steep ridge
85197,33808,481,long grassland
85199,33801,481,long grassland
85200,33804,482,long grassland
85201,33802,482,long grassland
85202,33801,483,long grassland
85203,33798,484,long grassland
,,,
85147,33933,490,Short grass
85146,33932,490,Short grass
85146,33930,490,Short grass 
85147,33925,489,Short grass 
85147,33923,489,Short grass 
85150,33907,488,Short grass 
85153,33891,484,Long grass
85156,33882,484,Medium grass 
85159,33877,482,Medium grass 
85161,33869,482,Tall grass
85162,33864,481,Medium grass
85163,33857,480,"Medium grass, steep"
85164,33855,479,"Short and medium grass, sheep poo"
85164,33852,479,"Short grass, steep"
85165,33851,477,"Medium grass, down into valley "
85166,33845,477,Medium grass 
85166,33843,476,Medium grass 
85167,33841,475,"Straight down, medium grassy"
85167,33839,474,"Medium and long grass, near river "
85167,33838,473,Short grass 
85167,33837,472,Sharp drop over river - steep river bank 
85168,33834,471,"Along riverbed, rocks wet "
85169,33832,473,Rock and short grass 
85170,33829,472,Rocks and grass
85174,33825,473,Vertical old river bank 
85179,33814,475,Boggy medium grass 
85181,33809,478,Medium grass and moss 
85181,33805,479,Short grass and moss 
85180,33739,481,Medium grass
,,,
85126,33925,478,grass 
85125,33924,484,grass 
85128,33918,485,long grass 
85130,33909,487,grass 
85131,33903,487,grass and moss 
85132,33897,487,grass 
85134,33893,486,grass 
85135,33889,486,grass 
85135,33888,486,grass 
85135,33886,486,grass 
85136,33883,484,mound of land - from mining finding mineral veins 
85138,33883,484,grass
88137,33880,485,grass
85137,33880,485,grass
85137,33878,485,grass
85138,33875,484,grass
85140,33873,483,grass
85138,33872,482,grass
85141,33864,482,grass
85143,33856,482,grass
85146,33846,479,grass
85148,33841,478,river 
85151,33832,477,stones on the bank of the river 
85151,33831,476,stones
85152,33830,476,stones
85153,33828,476,stones
85153,33827,474,stones
85153,33826,475,moss and grass
85154,33826,475,moss and grass
85157,33818,475,moss and grass
85157,33816,476,moss and grass
85158,33814,477,moss and grass
85160,33805,477,moss and grass
85160,33802,477,moss and grass
85160,33797,480,moss and grass
85160,33796,480,moss and grass
85160,33795,478,moss and grass
85161,33789,479,moss and grass
85164,33781,484,moss and grass
